Feature,VIF
macd_signal,inf
macd,462857104560.1743
macd_diff,177891873970.35513
volume_ratio,5075.969039408429
pv_ratio,5056.92830496145
log_return,2169.8228381416816
simple_return,2151.621914140007
price_to_ma21,27.566821947285423
quarter,18.3419626358174
month,18.256271562872637
price_volume,16.200434559997476
price_to_ma50,10.863946412716693
co_range,9.709050335901672
volume_ma20,8.429216138943357
bb_position,8.085319370348358
rsi_14,7.354835575857721
price_to_ma7,5.406527899598206
volatility_20d,4.080547477258541
volatility_50d,2.8365284236970707
price_to_ma200,2.580985336181007
return_lag1,2.542416267461001
bb_width,2.014008061485412
return_lag2,1.9273393591690577
volume_change,1.6663003628636242
return_lag3,1.5163034703381324
hl_range,1.4020969518630155
return_lag5,1.163574099895272
return_lag10,1.0938623328349908
day_of_week,1.0167678204040869
day_of_month,1.0084230334522453
